TableName,ColumnName,ColumnOrdinal,DataType,ColumnType,Description,Standard Property,Needs validation
OfficeActivity,SourceRelativeUrl,20,System.String,string,"URL of the folder that contains the file accessed by the user. The combination of the values for the SiteURL, SourceRelativeURL, and SourceFileName parameters is the same as the value for the ObjectID property, which is the full path name for the file accessed by the user.",No,
OfficeActivity,Start_Time,78,System.DateTime,datetime,Start time of the cmdlet execution.,No,
OfficeActivity,SupportTicketId,74,System.String,string,Customer support ticket ID for the action in act-on-behalf-of situations.,No,
OfficeActivity,TargetContextId,76,System.String,string,GUID of the organization that the targeted user belongs to.,No,
OfficeActivity,TenantId,87,System.String,string,ID of the workspace that stores this record,No,
OfficeActivity,UserAgent,16,System.String,string,Information about the user's client or browser.,No,
OfficeActivity,UserDomain,68,System.String,string,Tenant Identity Information (TII).,No,
OfficeActivity,UserId,10,System.String,string,"The UPN (User Principal Name) of the user who performed the action that resulted in the record being logged; for example, my_name@my_domain_name. Note that records for activity performed by system accounts (such as SHAREPOINT\system or NTAUTHORITY\SYSTEM) are also included.",No,
OfficeActivity,UserKey,6,System.String,string,"An alternative ID for the user identified in the UserId property. For example, this property is populated with the passport unique ID (PUID) for events performed by users in SharePoint, OneDrive for Business, and Exchange. This property may also specify the same value as the UserID property for events occurring in other services and events performed by system accounts.",No,
OfficeActivity,UserSharedWith,26,System.String,string,The user that a resource was shared with.,No,
OfficeActivity,UserType,5,System.String,string,"The type of user that performed the operation. Possible values are Admin, Application, DcAdmin, Regular, Reserved, ServicePrincipal, System.",No,
OfficeActivity,SourceSystem,89,System.String,string,Value is OfficeActivityManager for all records in this table.,Yes,
OfficeActivity,Type,90,System.String,string,Name of the table. This will be OfficeActivity for all records in this table.,Yes,
Operation,_ResourceId,16,System.String,string,ID of the Azure resource producing the record.,Yes,
Operation,TimeGenerated,2,System.DateTime,datetime,Date and time that the record was created.,Yes,
Operation,Computer,7,System.String,string,Name of a physical or virtual machine having membership with Log Analytics agent.,No,
Operation,CorrelationId,14,System.String,string,GUID that is shared with telemetry belonging to the same uber action.,No,
Operation,Detail,8,System.String,string,User friendly string that describes further details about the operation,No,
Operation,ErrorId,13,System.String,string,Deprecated.,No,
Operation,HelpLink,11,System.String,string,Reference URL for additional contextual information.,No,
Operation,ManagementGroupName,4,System.String,string,Name of the Operations Manager management group for System Center Operations Manager agents. ,No,
Operation,MG,3,System.String,string,Id of the management group for System Center Operations Manager agents. ,No,
Operation,OperationCategory,9,System.String,string,Name of the area that produced the record.,No,
Operation,OperationKey,12,System.String,string,Operation ID. Can be a GUID or string.,No,
Operation,OperationStatus,6,System.String,string,"Operation status description. Ccommon values include Warning, Succeeded, Failed, Error.",No,
Operation,Solution,10,System.String,string,Name of the managed solution that produced the record. Can also include other sources such as RestAPI.,No,
Operation,SourceComputerId,5,System.String,string,Unique GUID identifier for a computer.,No,
Operation,TenantId,0,System.String,string,GUID of the workspace storing the operation record.,No,
Operation,SourceSystem,1,System.String,string,Value is OpsManager for all records in this table.,Yes,
Operation,Type,15,System.String,string,Name of the table. This will be Operations for all records in this table.,Yes,
Perf,_ResourceId,17,System.String,string,Resource ID of the Azure resource running the agent. Retained for for backward compatibility. _ResourceId should be used.,Yes,
Perf,TimeGenerated,9,System.DateTime,datetime,Date and time the data was sampled.,Yes,
Perf,BucketEndTime,11,System.DateTime,datetime,,No,
Perf,BucketStartTime,10,System.DateTime,datetime,,No,
Perf,Computer,1,System.String,string,Computer that the event was collected from.,No,
Perf,CounterName,3,System.String,string,Name of the performance counter.,No,
