service,folder,file,type,test,link,media name,mediafolder,folder match
log-analytics ,C:\Users\bwren\Git\azure-docs-pr\articles\log-analytics , log-analytics-view-designer-parts.md , Anchor   ,       , #click-through-navigation,,,
log-analytics ,C:\Users\bwren\Git\azure-docs-pr\articles\log-analytics , log-analytics-view-designer-parts.md , Anchor   ,       , #thresholds,,,
application-insights ,C:\Users\bwren\Git\azure-docs-pr\articles\application-insights , app-insights-pricing.md , Media    , True  , ./media/app-insights-pricing/pricing-001.png,app-insights-pricing/pricing-001.png,app-insights-pricing,TRUE
application-insights ,C:\Users\bwren\Git\azure-docs-pr\articles\application-insights , app-insights-pricing.md , Media    , True  , ./media/app-insights-pricing/pricing-003.png,app-insights-pricing/pricing-003.png,app-insights-pricing,TRUE
log-analytics ,C:\Users\bwren\Git\azure-docs-pr\articles\log-analytics , log-analytics-view-designer-parts.md , Anchor   ,       , #click-through-navigation,,,
log-analytics ,C:\Users\bwren\Git\azure-docs-pr\articles\log-analytics , log-analytics-view-designer-parts.md , Anchor   ,       , #sparklines,,,
log-analytics ,C:\Users\bwren\Git\azure-docs-pr\articles\log-analytics , log-analytics-view-designer-parts.md , Anchor   ,       , #sparklines,,,
log-analytics ,C:\Users\bwren\Git\azure-docs-pr\articles\log-analytics , log-analytics-view-designer-parts.md , Anchor   ,       , #sparklines,,,
log-analytics ,C:\Users\bwren\Git\azure-docs-pr\articles\log-analytics , log-analytics-view-designer-parts.md , Anchor   ,       , #click-through-navigation,,,
log-analytics ,C:\Users\bwren\Git\azure-docs-pr\articles\log-analytics , log-analytics-view-designer-parts.md , Anchor   ,       , #thresholds,,,
application-insights ,C:\Users\bwren\Git\azure-docs-pr\articles\application-insights , app-insights-pricing.md , Media    , True  , ./media/app-insights-pricing/pricing-004.png,app-insights-pricing/pricing-004.png,app-insights-pricing,TRUE
log-analytics ,C:\Users\bwren\Git\azure-docs-pr\articles\log-analytics , log-analytics-view-designer-parts.md , Anchor   ,       , #click-through-navigation,,,
log-analytics ,C:\Users\bwren\Git\azure-docs-pr\articles\log-analytics , log-analytics-view-designer-parts.md , Anchor   ,       , #sparklines,,,
log-analytics ,C:\Users\bwren\Git\azure-docs-pr\articles\log-analytics , log-analytics-view-designer-parts.md , Anchor   ,       , #sparklines,,,
log-analytics ,C:\Users\bwren\Git\azure-docs-pr\articles\log-analytics , log-analytics-view-designer-parts.md , Anchor   ,       , #sparklines,,,
log-analytics ,C:\Users\bwren\Git\azure-docs-pr\articles\log-analytics , log-analytics-view-designer-parts.md , Anchor   ,       , #click-through-navigation,,,
log-analytics ,C:\Users\bwren\Git\azure-docs-pr\articles\log-analytics , log-analytics-view-designer-parts.md , Anchor   ,       , #thresholds,,,
application-insights ,C:\Users\bwren\Git\azure-docs-pr\articles\application-insights , app-insights-proactive-cloud-services.md , Media    , True  , ./media/app-insights-proactive-cloud-services/001.png,app-insights-proactive-cloud-services/001.png,app-insights-proactive-cloud-services,TRUE
log-analytics ,C:\Users\bwren\Git\azure-docs-pr\articles\log-analytics , log-analytics-view-designer-parts.md , Anchor   ,       , #click-through-navigation,,,
log-analytics ,C:\Users\bwren\Git\azure-docs-pr\articles\log-analytics , log-analytics-view-designer-parts.md , Article  , False , log-analytics-log-searches.md,,,
log-analytics ,C:\Users\bwren\Git\azure-docs-pr\articles\log-analytics , log-analytics-view-designer-tiles.md , Anchor   ,       , #number-tile,,,
log-analytics ,C:\Users\bwren\Git\azure-docs-pr\articles\log-analytics , log-analytics-view-designer-tiles.md , Anchor   ,       , #two-numbers-tile,,,
log-analytics ,C:\Users\bwren\Git\azure-docs-pr\articles\log-analytics , log-analytics-view-designer-tiles.md , Anchor   ,       , #donut-tile,,,
log-analytics ,C:\Users\bwren\Git\azure-docs-pr\articles\log-analytics , log-analytics-view-designer-tiles.md , Anchor   ,       , #line-chart-amp-callout-tile,,,
log-analytics ,C:\Users\bwren\Git\azure-docs-pr\articles\log-analytics , log-analytics-view-designer-tiles.md , Anchor   ,       , #line-chart-tile,,,
log-analytics ,C:\Users\bwren\Git\azure-docs-pr\articles\log-analytics , log-analytics-view-designer-tiles.md , Anchor   ,       , #two-timelines-tile,,,
application-insights ,C:\Users\bwren\Git\azure-docs-pr\articles\application-insights , app-insights-proactive-cloud-services.md , Media    , True  , ./media/app-insights-proactive-cloud-services/002.png,app-insights-proactive-cloud-services/002.png,app-insights-proactive-cloud-services,TRUE
application-insights ,C:\Users\bwren\Git\azure-docs-pr\articles\application-insights , app-insights-proactive-cloud-services.md , Media    , True  , ./media/app-insights-proactive-cloud-services/003.png,app-insights-proactive-cloud-services/003.png,app-insights-proactive-cloud-services,TRUE
