filename,foldername,path,fullpath,tocheader,tocfolder,tocname,tocpath,title,description,services,documentationcenter,author,manager,editor,ms.assetid,ms.service,ms.workload,ms.tgt_pltfrm,ms.devlang,ms.topic,Type,ms.date,ms.author,ms.component
visual-studio.md,app,app,app\visual-studio.md,How-to guides,How-to guides\Gain insights\Monitor applications\Visual Studio,How-to guides,How-to guides\Gain insights\Monitor applications\Visual Studio\F5 insights,Debug applications with Azure Application Insights in Visual Studio | Microsoft Docs,Web app performance analysis and diagnostics during debugging and in production.,application-insights,.net,NumberByColors,carmonm,,2059802b-1131-477e-a7b4-5f70fb53f974,application-insights,azure-vs,ibiza,,conceptual,conceptual,7/7/2017,daviste,
visual-studio-trends.md,app,app,app\visual-studio-trends.md,How-to guides,How-to guides\Gain insights\Monitor applications\Visual Studio,How-to guides,How-to guides\Gain insights\Monitor applications\Visual Studio\Trends,Analyzing Trends in Visual Studio | Microsoft Docs,"Analyze, visualize, and explore trends in your Application Insights telemetry in Visual Studio.",application-insights,.net,NumberByColors,carmonm,,3150c6fc-2691-44f6-a290-fc5cd68e692a,application-insights,azure-vs,ibiza,,conceptual,conceptual,3/17/2017,daviste,
azure-web-apps-analytics.md,insights,insights,insights\azure-web-apps-analytics.md,How-to guides,How-to guides\Gain insights\Monitor applications,How-to guides,How-to guides\Gain insights\Monitor applications\Web App Analytics solution,View Azure Web Apps analytic data | Microsoft Docs,You can use the Azure Web Apps Analytics solution to gain insights about your Azure Web Apps by collecting different metrics across all your Azure Web App resources.,log-analytics,'',mgoedtel,carmonm,'',20ff337f-b1a3-4696-9b5a-d39727a94220,log-analytics,na,na,,conceptual,conceptual,7/2/2018,magoedte,
azure-key-vault.md,insights,insights,insights\azure-key-vault.md,How-to guides,How-to guides\Gain insights\Monitor Azure resources,How-to guides,How-to guides\Gain insights\Monitor Azure resources\Key Vault Analytics,Azure Key Vault solution in Azure Monitor | Microsoft Docs,You can use the Azure Key Vault solution in Azure Monitor to review Azure Key Vault logs.,log-analytics,'',bwren,carmonm,'',5e25e6d6-dd20-4528-9820-6e2958a40dae,log-analytics,na,na,,conceptual,conceptual,3/27/2019,bwren,
container-insights-manage-agent.md,insights,insights,insights\container-insights-manage-agent.md,How-to guides,How-to guides\Gain insights\Monitor containers\Azure Monitor for containers,How-to guides,How-to guides\Gain insights\Monitor containers\Azure Monitor for containers\Agent management,How to manage the Azure Monitor for containers agent | Microsoft Docs,This article describes managing the most common maintenance tasks with the containerized Log Analytics agent used by Azure Monitor for containers.,azure-monitor,'',mgoedtel,carmonm,,,azure-monitor,infrastructure-services,na,,conceptual,conceptual,12/6/2018,magoedte,
container-insights-alerts.md,insights,insights,insights\container-insights-alerts.md,How-to guides,How-to guides\Gain insights\Monitor containers\Azure Monitor for containers,How-to guides,How-to guides\Gain insights\Monitor containers\Azure Monitor for containers\Alerting,Create performance alerts by using Azure Monitor for containers | Microsoft Docs,This article describes how to use Azure Monitor for containers to create custom alerts based on log queries for memory and CPU utilization.,azure-monitor,'',mgoedtel,carmonm,,,azure-monitor,infrastructure-services,na,,conceptual,conceptual,4/26/2019,magoedte,
container-insights-analyze.md,insights,insights,insights\container-insights-analyze.md,How-to guides,How-to guides\Gain insights\Monitor containers\Azure Monitor for containers,How-to guides,How-to guides\Gain insights\Monitor containers\Azure Monitor for containers\Analyze,Monitor AKS cluster performance with Azure Monitor for containers | Microsoft Docs,This article describes how you can view and analyze the performance and log data with Azure Monitor for containers.,azure-monitor,'',mgoedtel,carmonm,,,azure-monitor,infrastructure-services,na,,article,article,6/12/2019,magoedte,
container-insights-log-search.md,insights,insights,insights\container-insights-log-search.md,How-to guides,How-to guides\Gain insights\Monitor containers\Azure Monitor for containers,How-to guides,How-to guides\Gain insights\Monitor containers\Azure Monitor for containers\Analyze data with log queries,How to Query Logs from Azure Monitor for containers | Microsoft Docs,Azure Monitor for containers collects metrics and log data and this article describes the records and includes sample queries.,azure-monitor,'',mgoedtel,carmonm,tysonn,,azure-monitor,infrastructure-services,na,,article,article,4/17/2019,magoedte,
container-insights-agent-config.md,insights,insights,insights\container-insights-agent-config.md,How-to guides,How-to guides\Gain insights\Monitor containers\Azure Monitor for containers,How-to guides,How-to guides\Gain insights\Monitor containers\Azure Monitor for containers\Configure agent collection settings,Configure Azure Monitor for containers agent data collection | Microsoft Docs,This article describes how you can configure the Azure Monitor for containers agent to control stdout/stderr and environment variables log collection.,azure-monitor,'',mgoedtel,carmonm,tysonn,,azure-monitor,infrastructure-services,na,,article,article,6/22/2019,magoedte,
container-insights-optout.md,insights,insights,insights\container-insights-optout.md,How-to guides,How-to guides\Gain insights\Monitor containers\Azure Monitor for containers,How-to guides,How-to guides\Gain insights\Monitor containers\Azure Monitor for containers\Disable monitoring,How to Stop Monitoring Your Azure Kubernetes Service cluster | Microsoft Docs,This article describes how you can discontinue monitoring of your Azure AKS cluster with Azure Monitor for containers.,azure-monitor,'',mgoedtel,carmonm,,,azure-monitor,infrastructure-services,na,,article,article,12/13/2018,magoedte,
container-insights-enable-existing-clusters.md,insights,insights,insights\container-insights-enable-existing-clusters.md,How-to guides,How-to guides\Gain insights\Monitor containers\Azure Monitor for containers\Enable monitoring,How-to guides,How-to guides\Gain insights\Monitor containers\Azure Monitor for containers\Enable monitoring\Enable for existing cluster,Monitor an Azure Kubernetes Service (AKS) cluster deployed | Microsoft Docs,Learn how to enable monitoring of an Azure Kubernetes Service (AKS) cluster with Azure Monitor for containers already deployed in your subscription.,azure-monitor,'',mgoedtel,carmonm,,,azure-monitor,infrastructure-services,na,,conceptual,conceptual,4/25/2019,magoedte,
container-insights-enable-new-cluster.md,insights,insights,insights\container-insights-enable-new-cluster.md,How-to guides,How-to guides\Gain insights\Monitor containers\Azure Monitor for containers\Enable monitoring,How-to guides,How-to guides\Gain insights\Monitor containers\Azure Monitor for containers\Enable monitoring\Enable for new cluster,Monitor a new Azure Kubernetes Service (AKS) cluster | Microsoft Docs,Learn how to enable monitoring for a new Azure Kubernetes Service (AKS) cluster with Azure Monitor for containers subscription.,azure-monitor,'',mgoedtel,carmonm,,,azure-monitor,infrastructure-services,na,,conceptual,conceptual,4/25/2019,magoedte,
container-insights-onboard.md,insights,insights,insights\container-insights-onboard.md,How-to guides,How-to guides\Gain insights\Monitor containers\Azure Monitor for containers\Enable monitoring,How-to guides,How-to guides\Gain insights\Monitor containers\Azure Monitor for containers\Enable monitoring\Enable monitoring overview,How to enable Azure Monitor for containers | Microsoft Docs,This article describes how you enable and configure Azure Monitor for containers so you can understand how your container is performing and what performance-related issues have been identified.,azure-monitor,'',mgoedtel,carmonm,,,azure-monitor,infrastructure-services,na,,conceptual,conceptual,4/25/2019,magoedte,
container-insights-faq.md,insights,insights,insights\container-insights-faq.md,How-to guides,How-to guides\Gain insights\Monitor containers\Azure Monitor for containers,How-to guides,How-to guides\Gain insights\Monitor containers\Azure Monitor for containers\FAQ,Azure Monitor for containers Frequently Asked Questions | Microsoft Docs,Azure Monitor for containers is a solution that monitors the health of your AKS clusters and Container Instances in Azure. This article answers common questions.,azure-monitor,,mgoedtel,carmonm,tysonn,,azure-monitor,infrastructure-services,,,article,article,4/17/2019,magoedte,
container-insights-overview.md,insights,insights,insights\container-insights-overview.md,How-to guides,How-to guides\Gain insights\Monitor containers\Azure Monitor for containers,How-to guides,How-to guides\Gain insights\Monitor containers\Azure Monitor for containers\Overview,Overview of Azure Monitor for containers | Microsoft Docs,This article describes Azure Monitor for containers that monitors AKS Container Insights solution and the value it delivers by monitoring the health of your AKS clusters and Container Instances in Azure.,azure-monitor,'',mgoedtel,carmonm,,,azure-monitor,infrastructure-services,na,,article,article,4/25/2019,magoedte,
container-insights-troubleshoot.md,insights,insights,insights\container-insights-troubleshoot.md,How-to guides,How-to guides\Gain insights\Monitor containers\Azure Monitor for containers,How-to guides,How-to guides\Gain insights\Monitor containers\Azure Monitor for containers\Troubleshooting,How to Troubleshoot Azure Monitor for containers | Microsoft Docs,This article describes how you can troubleshoot and resolve issues with Azure Monitor for containers.,azure-monitor,'',mgoedtel,carmonm,,,azure-monitor,infrastructure-services,na,,article,article,3/27/2018,magoedte,
container-insights-update-metrics.md,insights,insights,insights\container-insights-update-metrics.md,How-to guides,How-to guides\Gain insights\Monitor containers\Azure Monitor for containers,How-to guides,How-to guides\Gain insights\Monitor containers\Azure Monitor for containers\Update to enable metrics,How to update Azure Monitor for containers for metrics | Microsoft Docs,This article describes how you update Azure Monitor for containers to enable the custom metrics feature that supports exploring and alerting on aggregated metrics.,azure-monitor,'',mgoedtel,carmonm,,,azure-monitor,infrastructure-services,na,,conceptual,conceptual,5/6/2019,magoedte,
container-insights-live-logs.md,insights,insights,insights\container-insights-live-logs.md,How-to guides,How-to guides\Gain insights\Monitor containers\Azure Monitor for containers,How-to guides,How-to guides\Gain insights\Monitor containers\Azure Monitor for containers\View live logs,View Azure Monitor for containers logs in real time | Microsoft Docs,This article describes the real-time view of container logs (stdout/stderr) and events without using kubectl with Azure Monitor for containers.,azure-monitor,'',mgoedtel,carmonm,,,azure-monitor,infrastructure-services,na,,article,article,6/19/2019,magoedte,
containers.md,insights,insights,insights\containers.md,How-to guides,How-to guides\Gain insights\Monitor containers,How-to guides,How-to guides\Gain insights\Monitor containers\Docker and Windows Container monitoring,Container Monitoring solution in Azure Monitor | Microsoft Docs,The Container Monitoring solution in Azure Monitor helps you view and manage your Docker and Windows container hosts in a single location.,log-analytics,'',mgoedtel,carmonm,'',e1e4b52b-92d5-4bfa-8a09-ff8c6b5a9f78,log-analytics,na,na,,conceptual,conceptual,2/28/2019,magoedte,
azure-sql.md,insights,insights,insights\azure-sql.md,How-to guides,How-to guides\Gain insights\Monitor databases,How-to guides,How-to guides\Gain insights\Monitor databases\Azure SQL,Azure SQL Analytics solution in Azure Monitor | Microsoft Docs,Azure SQL Analytics solution helps you manage your Azure SQL databases,log-analytics,,danimir,craigg,,,log-analytics,,,,conceptual,conceptual,12/17/2018,danil,
sql-assessment.md,insights,insights,insights\sql-assessment.md,How-to guides,How-to guides\Gain insights\Monitor databases,How-to guides,How-to guides\Gain insights\Monitor databases\SQL Server,Optimize your SQL Server environment with Azure Monitor | Microsoft Docs,"With Azure Monitor, you can use the SQL Health Check solution to assess the risk and health of your environments on a regular interval.",log-analytics,'',mgoedtel,carmonm,'',e297eb57-1718-4cfe-a241-b9e84b2c42ac,log-analytics,na,na,,conceptual,conceptual,3/28/2019,magoedte,
network-performance-monitor-expressroute.md,insights,insights,insights\network-performance-monitor-expressroute.md,How-to guides,How-to guides\Gain insights\Monitor networks\Network Performance Monitor,How-to guides,How-to guides\Gain insights\Monitor networks\Network Performance Monitor\ExpressRoute,Network Performance Monitor solution in Azure Log Analytics | Microsoft Docs,"Use the ExpressRoute Monitor capability in Network Performance Monitor to monitor end-to-end connectivity and performance between your branch offices and Azure, over Azure ExpressRoute.",log-analytics,'',abshamsft,carmonm,'',5b9c9c83-3435-488c-b4f6-7653003ae18a,log-analytics,na,na,,conceptual,conceptual,11/27/2018,absha,
network-performance-monitor-faq.md,insights,insights,insights\network-performance-monitor-faq.md,How-to guides,How-to guides\Gain insights\Monitor networks\Network Performance Monitor,How-to guides,How-to guides\Gain insights\Monitor networks\Network Performance Monitor\FAQ,FAQs - Network Performance Monitor solution in Azure | Microsoft Docs,This article captures the frequently asked questions about Network Performance Monitor in Azure. Network Performance Monitor (NPM) helps you monitor the performance of your networks in near real time and detect and locate network performance bottlenecks.,log-analytics,'',vinynigam,agummadi,'',,log-analytics,na,na,,article,article,10/12/2018,vinynigam,
network-performance-monitor-performance-monitor.md,insights,insights,insights\network-performance-monitor-performance-monitor.md,How-to guides,How-to guides\Gain insights\Monitor networks\Network Performance Monitor,How-to guides,How-to guides\Gain insights\Monitor networks\Network Performance Monitor\Performance Monitor,Performance Monitor feature in Network Performance Monitor solution in Azure Log Analytics | Microsoft Docs,"The Performance Monitor capability in Network Performance Monitor helps you monitor network connectivity across various points in your network. You can monitor cloud deployments and on-premises locations, multiple data centers and branch offices, and mission-critical multitier applications or microservices.",log-analytics,'',abshamsft,carmonm,'',5b9c9c83-3435-488c-b4f6-7653003ae18a,log-analytics,na,na,,conceptual,conceptual,2/20/2018,absha,
network-performance-monitor-pricing-faq.md,insights,insights,insights\network-performance-monitor-pricing-faq.md,How-to guides,How-to guides\Gain insights\Monitor networks\Network Performance Monitor,How-to guides,How-to guides\Gain insights\Monitor networks\Network Performance Monitor\Pricing,Pricing FAQ for Azure Network Performance Monitor | Microsoft Docs,Frequently asked questions - Azure Network Performance Monitor,monitoring-and-diagnostics,na,agummadi,cherylmc,'',,log-analytics,infrastructure-services,na,,conceptual,conceptual,4/2/2018,ajaycode,
