"Azure Monitor Documentation","Azure Monitor Documentation","","Azure Monitor Documentation","index.yml","","index.yml"
"How-to guides","How-to guides\Monitor resources\Monitor virtual machines\Capacity and performance","How-to guides\Monitor resources\Monitor virtual machines\","Capacity and performance","insights/capacity-performance.md","insights/","capacity-performance.md"
"How-to guides","How-to guides\Monitor resources\Monitor virtual machines\VMware Analytics","How-to guides\Monitor resources\Monitor virtual machines\","VMware Analytics","insights/vmware.md","insights/","vmware.md"
"How-to guides","How-to guides\Monitor resources\Monitor virtual machines\Wire Data","How-to guides\Monitor resources\Monitor virtual machines\","Wire Data","insights/wire-data.md","insights/","wire-data.md"
"How-to guides","How-to guides\Monitor resources\Monitor virtual machines\Service Map\Use","How-to guides\Monitor resources\Monitor virtual machines\Service Map\","Use","insights/service-map.md","insights/","service-map.md"
"How-to guides","How-to guides\Monitor resources\Monitor virtual machines\Service Map\Configure","How-to guides\Monitor resources\Monitor virtual machines\Service Map\","Configure","insights/service-map-configure.md","insights/","service-map-configure.md"
"How-to guides","How-to guides\Monitor resources\Monitor virtual machines\Service Map\Integration with Operations Manager","How-to guides\Monitor resources\Monitor virtual machines\Service Map\","Integration with Operations Manager","insights/service-map-scom.md","insights/","service-map-scom.md"
"How-to guides","How-to guides\Monitor resources\Monitor applications\Application Insights overview","How-to guides\Monitor resources\Monitor applications\","Application Insights overview","app/app-insights-overview.md","app/","app-insights-overview.md"
"How-to guides","How-to guides\Monitor resources\Monitor applications\Application Insights FAQ","How-to guides\Monitor resources\Monitor applications\","Application Insights FAQ","app/troubleshoot-faq.md","app/","troubleshoot-faq.md"
"How-to guides","How-to guides\Monitor resources\Monitor applications\Deep diagnostics for web apps and services","How-to guides\Monitor resources\Monitor applications\","Deep diagnostics for web apps and services","app/devops.md","app/","devops.md"
"How-to guides","How-to guides\Monitor resources\Monitor applications\Monitor performance in web applications","How-to guides\Monitor resources\Monitor applications\","Monitor performance in web applications","app/web-monitor-performance.md","app/","web-monitor-performance.md"
"How-to guides","How-to guides\Monitor resources\Monitor applications\Separate development, test, and production","How-to guides\Monitor resources\Monitor applications\","Separate development, test, and production","app/separate-resources.md","app/","separate-resources.md"
"How-to guides","How-to guides\Monitor resources\Monitor applications\How do I ... in Application Insights?","How-to guides\Monitor resources\Monitor applications\","How do I ... in Application Insights?","app/how-do-i.md","app/","how-do-i.md"
"How-to guides","How-to guides\Monitor resources\Monitor applications\Permissions and security","How-to guides\Monitor resources\Monitor applications\","Permissions and security","app/resources-roles-access-control.md","app/","resources-roles-access-control.md"
"How-to guides","How-to guides\Monitor resources\Monitor applications\Configure applications\Azure apps\Azure app service","How-to guides\Monitor resources\Monitor applications\Configure applications\Azure apps\","Azure app service","app/azure-web-apps.md","app/","azure-web-apps.md"
"How-to guides","How-to guides\Monitor resources\Monitor applications\Configure applications\Azure apps\Azure Cloud Services","How-to guides\Monitor resources\Monitor applications\Configure applications\Azure apps\","Azure Cloud Services","app/cloudservices.md","app/","cloudservices.md"
