"CreatedAt","Assignee","Url","Title","Service","Content"
"6/5/2020 2:16:34 AM","rboucher","https://github.com/MicrosoftDocs/azure-docs/issues/56421","annotation for ""sqlserver_process_"" metrics is not valid for General Purpose Serverless 1 vCore","azure-monitor","[articles/azure-monitor/platform/metrics-supported.md](https://github.com/MicrosoftDocs/azure-docs/blob/master/articles/azure-monitor/platform/metrics-supported.md)"
"6/5/2020 2:07:12 AM","rboucher","https://github.com/MicrosoftDocs/azure-docs/issues/56420","annotation for ""tempdb_"" and ""sqlserver_process_"" metrics is not valid for Hyperscale","azure-monitor","[articles/azure-monitor/platform/metrics-supported.md](https://github.com/MicrosoftDocs/azure-docs/blob/master/articles/azure-monitor/platform/metrics-supported.md)"
"6/4/2020 6:10:18 PM","TimothyMothra","https://github.com/MicrosoftDocs/azure-docs/issues/56399","Add please a sample code for functions v3","azure-monitor","[articles/azure-monitor/app/azure-functions-supported-features.md](https://github.com/MicrosoftDocs/azure-docs/blob/master/articles/azure-monitor/app/azure-functions-supported-features.md)"
"6/4/2020 5:23:50 PM","SamaraSoucy-MSFT","https://github.com/MicrosoftDocs/azure-docs/issues/56396","Api documentation for CurrentBillingFeatures and other AppInsights configurable options is wild","azure-monitor","[articles/azure-monitor/app/powershell.md](https://github.com/MicrosoftDocs/azure-docs/blob/master/articles/azure-monitor/app/powershell.md)"
"6/4/2020 3:49:53 PM","rboucher","https://github.com/MicrosoftDocs/azure-docs/issues/56390","Update article for updated metrics","azure-monitor","[articles/azure-monitor/platform/metrics-supported.md](https://github.com/MicrosoftDocs/azure-docs/blob/master/articles/azure-monitor/platform/metrics-supported.md)"
"6/4/2020 3:45:35 PM","MonikaReddy-MSFT","https://github.com/MicrosoftDocs/azure-docs/issues/56388","RoleInstance empty string overwritten by computer name","azure-monitor","[articles/azure-monitor/app/windows-desktop.md](https://github.com/MicrosoftDocs/azure-docs/blob/master/articles/azure-monitor/app/windows-desktop.md)"
"6/4/2020 12:54:35 PM","bwren","https://github.com/MicrosoftDocs/azure-docs/issues/56377","Scope of saved queries","azure-monitor","[articles/azure-monitor/log-query/get-started-portal.md](https://github.com/MicrosoftDocs/azure-docs/blob/master/articles/azure-monitor/log-query/get-started-portal.md)"
"6/4/2020 11:58:41 AM","vgorbenko","https://github.com/MicrosoftDocs/azure-docs/issues/56369","Include advanced queries","azure-monitor","[articles/azure-monitor/platform/app-insights-metrics.md](https://github.com/MicrosoftDocs/azure-docs/blob/master/articles/azure-monitor/platform/app-insights-metrics.md)"
"6/4/2020 1:31:02 AM","BharathNimmala-MSFT","https://github.com/MicrosoftDocs/azure-docs/issues/56337","""FileShareQuota"" metric no longer working","azure-monitor","[articles/azure-monitor/platform/metrics-supported.md](https://github.com/MicrosoftDocs/azure-docs/blob/master/articles/azure-monitor/platform/metrics-supported.md)"
"6/3/2020 8:20:16 PM","MonikaReddy-MSFT","https://github.com/MicrosoftDocs/azure-docs/issues/56320","SQL Dependency Tracking","azure-monitor","[articles/azure-monitor/app/asp-net-dependencies.md](https://github.com/MicrosoftDocs/azure-docs/blob/master/articles/azure-monitor/app/asp-net-dependencies.md)"
